Society Name,Meeting Day,Meeting Time,College,Site Link,Meeint Room,
Interdisciplinary Studies Society (IDS),Tuesday,6:00-7:00,Interdisciplinary Studies,https://my.byui.edu/groups/interdisciplinary-society-sis/events,MC 176C,Email Template:
The Society for the Advancement of Material and Process Engineering (SAMPE),Thursday,5:45,College of Physical Sciences & Engineering,https://my.byui.edu/groups/the-society-for-the-advancement-of-material-and-process-engineering-sampe-,"AUS 151, AUS 171","Good day. 

Would you mind letting me know when and where __ meets? The information is not listed on myBYUI and you are listed under contact info. 

Thank you.
"
Amateur Radio Society,Wednesday,5:30-6:30,College of Physical Sciences & Engineering,https://my.byui.edu/groups/amateur-radio-society/dashboard,STC 243,
American Society of Civil Engineers ,Thursday,5:30-6:30,College of Physical Sciences & Engineering,https://my.byui.edu/groups/american-society-of-civil-engineers/events,ETC 137,
American Society of Mechanical Engineers (ASME),,,College of Physical Sciences & Engineering,https://my.byui.edu/groups/american-society-of-mechanical-engineers-asme/dashboard,,
American Welding Society,Thursday,11:30,College of Physical Sciences & Engineering,https://my.byui.edu/groups/american-welding-society,AUS 202,
Astronomical Society,Wednesday,6:00-7:00,College of Physical Sciences & Engineering,https://my.byui.edu/groups/astronomical-society/dashboard,ROM 128,clayras@byui.edu
Bio(Chem)2 Society ,,,College of Physical Sciences & Engineering,https://my.byui.edu/groups/biochem2-society/dashboard,,
 Biomedical Engineering Society ,Thursday,4:00,College of Physical Sciences & Engineering,https://my.byui.edu/groups/bmes/dashboard,The Ausin Lobby,
Computing Society,Wednesday,5:00-6:00,College of Physical Sciences & Engineering,https://my.byui.edu/groups/computing-society/dashboard,STC Quad,
Data Science Society,Wednesday,6:00-7:00,College of Physical Sciences & Engineering,https://my.byui.edu/groups/data-science-society/feed,STC 341,
Design and Construction Management Society (DCMS),Wendsday,5:30,College of Physical Sciences & Engineering,https://my.byui.edu/groups/design-and-construction-management-society-dcms/dashboard,AUS 221,
 Geology Society ,,,College of Physical Sciences & Engineering,https://my.byui.edu/groups/geology-society/dashboard,,
HART High Altitude Balloon Society ,Thursday,5:00,College of Physical Sciences & Engineering,https://my.byui.edu/groups/hart-high-altitude-balloon-society/dashboard,ROM 127,
IEEE Student Branch Society,Tuesday,5:30-6:30,College of Physical Sciences & Engineering,https://my.byui.edu/groups/ieee-student-branch-society/dashboard,STC 243,
Mathematics Society ,,,College of Physical Sciences & Engineering,https://my.byui.edu/groups/mathematics-society/dashboard,,
Math Education Society ,,,College of Physical Sciences & Engineering,https://my.byui.edu/groups/math-education-society/dashboard,,
Society of Automotive Engineers (SAE) ,Tuesday and Thursday,6:00-7:00,College of Physical Sciences & Engineering,https://my.byui.edu/groups/society-of-automotive-engineers-sae/dashboard,AUS 117,
Society of Cybersecurity,Wednesday,5:30,College of Physical Sciences & Engineering,https://my.byui.edu/groups/society-of-cybersecurity/dashboard,STC 367,
 Society of Hispanic Professional Engineers (SHPE) ,,,College of Physical Sciences & Engineering,https://my.byui.edu/groups/society-of-hispanic-professional-engineers-shpe/dashboard,,
Society of Manufacturing Engineers ,,,College of Physical Sciences & Engineering,https://my.byui.edu/groups/society-of-manufacturing-engineers/dashboard,,
Society of Physics Students,,,College of Physical Sciences & Engineering,https://my.byui.edu/groups/society-of-physics-students-byu-idaho-chapter/dashboard,,
